         4074313 function calls (4065842 primitive calls) in 57.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3072    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:1270(is_1d_only_ea_dtype)
     2072    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:1590(<genexpr>)
     1024    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:707(dtype)
     2068    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:2004(internal_values)
     7260    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        4    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:2246(_stack_arrays)
     2048    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:1399(_get_dtype)
     6180    0.001    0.000    0.001    0.000 {built-in method _warnings._filters_mutated}
        8    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:1165(_is_binary_mode)
     2052    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:123(<lambda>)
     2659    0.001    0.000    0.001    0.000 {method 'clear' of 'set' objects}
     4148    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1024    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:1993(dtype)
     1040    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\config.py:676(_translate_key)
     2090    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
     1056    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
